epoch,train_loss,train_acc,val_loss,val_acc
1,0.027476,1.000000,-0.000000,1.000000
2,0.006990,1.000000,-0.000000,1.000000
3,0.006832,1.000000,-0.000000,1.000000
4,0.006665,1.000000,-0.000000,1.000000
5,0.006498,1.000000,-0.000000,1.000000
6,0.006335,1.000000,-0.000000,1.000000
7,0.006177,1.000000,-0.000000,1.000000
8,0.006023,1.000000,-0.000000,1.000000
9,0.005872,1.000000,-0.000000,1.000000
10,0.005724,1.000000,0.000000,1.000000
11,0.005578,1.000000,0.000000,1.000000
12,0.005434,1.000000,0.000000,1.000000
13,0.005292,1.000000,0.000000,1.000000
14,0.005151,1.000000,0.000000,1.000000
15,0.005012,1.000000,0.000000,1.000000
16,0.004875,1.000000,0.000000,1.000000
